Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
asum,asum,sasum.f,dasum.f,,,,
axpy,axpy,saxpy.f,daxpy.f,axpy,caxpy.f,zaxpy.f,
casum,,,,casum,scasum.f,dzasum.f,
cnrm2,,,,cnrm2,scnrm2.f,dznrm2.f,
copy,copy,scopy.f,dcopy.f,copy,ccopy.f,zcopy.f,
dot,dot,sdot.f,ddot.f,,,,
dotc,,,,dotc,cdotc.f,zdotc.f,
dotu,,,,dotu,cdotu.f,zdotu.f,
dsdot,dsdot,sdsdot.f,,,,,
gbmv,gbmv,sgbmv.f,dgbmv.f,gbmv,cgbmv.f,zgbmv.f,
gemm,gemm,sgemm.f,dgemm.f,gemm,cgemm.f,zgemm.f,
gemv,gemv,sgemv.f,dgemv.f,gemv,cgemv.f,zgemv.f,
gerc,!ger,!sger.f,!dger.f,gerc,cgerc.f,zgerc.f,
geru,ger,sger.f,dger.f,geru,cgeru.f,zgeru.f,
hbmv,sbmv,ssbmv.f,dsbmv.f,hbmv,chbmv.f,zhbmv.f,
hemm,!symm,!ssymm.f,!dsymm.f,hemm,chemm.f,zhemm.f,
hemv,symv,ssymv.f,dsymv.f,hemv,chemv.f,zhemv.f,
her,syr,ssyr.f,dsyr.f,her,cher.f,zher.f,
her2,syr2,ssyr2.f,dsyr2.f,her2,cher2.f,zher2.f,
her2k,!syr2k,!ssyr2k.f,!dsyr2k.f,her2k,cher2k.f,zher2k.f,
herk,!syrk,!ssyrk.f,!dsyrk.f,herk,cherk.f,zherk.f,
hpmv,spmv,sspmv.f,dspmv.f,hpmv,chpmv.f,zhpmv.f,
hpr,spr,sspr.f,dspr.f,hpr,chpr.f,zhpr.f,
hpr2,spr2,sspr2.f,dspr2.f,hpr2,chpr2.f,zhpr2.f,
iamax,iamax,isamax.f,idamax.f,iamax,icamax.f,izamax.f,
nrm2,nrm2,snrm2.f,dnrm2.f,,,,
rot,rot,srot.f,drot.f,,,,
rotg,rotg,srotg.f,drotg.f,rotg,crotg.f,zrotg.f,
rotm,rotm,srotm.f,drotm.f,,,,
rotmg,rotmg,srotmg.f,drotmg.f,,,,
rrot,,,,rrot,csrot.f,zdrot.f,
rscal,,,,rscal,csscal.f,zdscal.f,
scal,scal,sscal.f,dscal.f,scal,cscal.f,zscal.f,
sdot,sdot,,dsdot.f,,,,
swap,swap,sswap.f,dswap.f,swap,cswap.f,zswap.f,
symm,symm,ssymm.f,dsymm.f,symm,csymm.f,zsymm.f,
syr2k,syr2k,ssyr2k.f,dsyr2k.f,syr2k,csyr2k.f,zsyr2k.f,
syrk,syrk,ssyrk.f,dsyrk.f,syrk,csyrk.f,zsyrk.f,
tbmv,tbmv,stbmv.f,dtbmv.f,tbmv,ctbmv.f,ztbmv.f,
tbsv,tbsv,stbsv.f,dtbsv.f,tbsv,ctbsv.f,ztbsv.f,
tpmv,tpmv,stpmv.f,dtpmv.f,tpmv,ctpmv.f,ztpmv.f,
tpsv,tpsv,stpsv.f,dtpsv.f,tpsv,ctpsv.f,ztpsv.f,
trmm,trmm,strmm.f,dtrmm.f,trmm,ctrmm.f,ztrmm.f,
trmv,trmv,strmv.f,dtrmv.f,trmv,ctrmv.f,ztrmv.f,
trsm,trsm,strsm.f,dtrsm.f,trsm,ctrsm.f,ztrsm.f,
trsv,trsv,strsv.f,dtrsv.f,trsv,ctrsv.f,ztrsv.f,
lsame,,,,,,,lsame.f
xerbla,,,,,,,xerbla.f
